ID,CODIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECCION,CP,POBLACION,PROVINCIA,PAIS
848,42018,EL COBUJÓN,37.5165090,-6.9534280,"Ctra. Hv - 1427 --- Estación Ferrocarril, S/N",21300,CALAÑAS,HUELVA,ESPAÑA
849,42019,BELMONTE,37.4618640,-6.9475330,"Ctra. N - 431 --- Estación Ferrocarril, S/N",21500,GIBRALEÓN,HUELVA,ESPAÑA
850,42020,GIBRALEÓN,37.3685200,-6.9620700,"C/ Guadiana, 6",21500,GIBRALEÓN,HUELVA,ESPAÑA
852,43008,CARRIÓN DE LOS CÉSPEDES,37.3689550,-6.3350880,Ctra. Se - 637 - Estación de Ferrocarril S/N,41820,CARRIÓN DE LOS CÉSPEDES,SEVILLA,ESPAÑA
853,43009,ESCACENA,37.3978120,-6.3919800,"Ctra. Hu - 6111 --- Camino del Pozo, S/N",21870,ESCACENA DEL CAMPO,HUELVA,ESPAÑA
854,43011,LA PALMA DEL CONDADO,37.3906650,-6.5544440,"Avda. de la Constitucion, 9",21700,PALMA DEL CONDADO (LA),HUELVA,ESPAÑA
855,43012,VILLARRASA,37.3869990,-6.5988190,"Ctra. A-472 - Estación Ferrocarril, S/N",21850,VILLARRASA,HUELVA,ESPAÑA
856,43015,NIEBLA-PUERTA DEL BUEY,37.3587619,-6.6812578,"Avda. Puerta del Buey, S/N",21840,NIEBLA,HUELVA,ESPAÑA
857,43019,HUELVA,37.2525922,-6.9448154,"Avda. de Cádiz, S/N",21003,HUELVA,HUELVA,ESPAÑA
858,43021,SAN JUAN DEL PUERTO,37.3118980,-6.8410760,"C/ Rios Esquina Pza. de la Marina, S/N",21610,SAN JUAN DEL PUERTO,HUELVA,ESPAÑA
860,50002,CINCO CASAS,39.1692820,-3.2326630,"Pla. Estación Ferrocarril, S/N",13720,ALCÁZAR DE SAN JUAN,CIUDAD REAL,ESPAÑA
861,50100,MANZANARES,39.0058370,-3.3705070,"Paseo Estación Ferrocarril, S/N",13200,MANZANARES,CIUDAD REAL,ESPAÑA
862,50102,VALDEPEÑAS,38.7628680,-3.3957200,"Paseo Estación Ferrocarril, S/N",13300,VALDEPEÑAS,CIUDAD REAL,ESPAÑA
863,50200,SANTA CRUZ DE MUDELA,38.6444280,-3.4514930,"Paseo Castelar, 161",13730,SANTA CRUZ DE MUDELA,CIUDAD REAL,ESPAÑA
