codigo,label,poblacion,coordenadas
03024,Benejúzar,5811,Point(-0.838611111 38.077777777)
03024,Benejúzar,5811,Point(-0.838611111 38.077777777)
03025,Benferri,2099,Point(-0.9625 38.141666666)
03025,Benferri,2099,Point(-0.9625 38.141666666)
03026,Beniarbeig,2499,Point(-0.001666666 38.821666666)
03026,Beniarbeig,2499,Point(-0.001666666 38.821666666)
03027,Beniardá,226,Point(-0.21647473 38.683541304)
03027,Beniardá,226,Point(-0.21647473 38.683541304)
03028,Beniarrés,1117,Point(-0.379444444 38.82)
03028,Beniarrés,1117,Point(-0.379444444 38.82)
03029,Benichembla,590,Point(-0.110277777 38.755833333)
03029,Benichembla,590,Point(-0.110277777 38.755833333)
03030,Benidoleig,1245,Point(-0.0325 38.791666666)
03030,Benidoleig,1245,Point(-0.0325 38.791666666)
03031,Benidorm,77327,Point(-0.131388888 38.534166666)
03031,Benidorm,77327,Point(-0.131388888 38.534166666)
03032,Benifallim,130,Point(-0.399722222 38.662777777)
03032,Benifallim,130,Point(-0.399722222 38.662777777)
03033,Benifato,162,Point(-0.229444444 38.673333333)
03033,Benifato,162,Point(-0.229444444 38.673333333)
03034,Benijófar,3679,Point(-0.738611111 38.080555555)
03034,Benijófar,3679,Point(-0.738611111 38.080555555)
03035,Benilloba,744,Point(-0.391111111 38.699166666)
03035,Benilloba,744,Point(-0.391111111 38.699166666)
03036,Benillup,110,Point(-0.379444444 38.753333333)
03036,Benillup,110,Point(-0.379444444 38.753333333)
03037,Benimantell,548,Point(-0.21 38.676388888)
03037,Benimantell,548,Point(-0.21 38.676388888)
03038,Benimarfull,465,Point(-0.383055555 38.783055555)
03038,Benimarfull,465,Point(-0.383055555 38.783055555)
03039,Benimasot,85,Point(-0.283055555 38.75)
03039,Benimasot,85,Point(-0.283055555 38.75)
03040,Benimeli,474,Point(-0.041388888 38.822777777)
03040,Benimeli,474,Point(-0.041388888 38.822777777)
03041,Benisa,12471,Point(0.05 38.715277777)
03041,Benisa,12471,Point(0.05 38.715277777)
03042,Benitachell,4911,Point(0.144166666 38.732777777)
03042,Benitachell,4911,Point(0.144166666 38.732777777)
03043,Biar,3677,Point(-0.766666666 38.633055555)
03044,Bigastro,7537,Point(-0.895555555 38.063055555)
03044,Bigastro,7537,Point(-0.895555555 38.063055555)
03045,Bolulla,490,Point(-0.112222222 38.676388888)
03045,Bolulla,490,Point(-0.112222222 38.676388888)
03046,Busot,3782,Point(-0.420277777 38.481388888)
03046,Busot,3782,Point(-0.420277777 38.481388888)
03047,Calpe,27616,Point(0.046111111 38.644444444)
03047,Calpe,27616,Point(0.046111111 38.644444444)
03048,Callosa de Ensarriá,8182,Point(-0.122777777 38.651388888)
03048,Callosa de Ensarriá,8182,Point(-0.122777777 38.651388888)
03049,Callosa de Segura,19988,Point(-0.879722222 38.1225)
03049,Callosa de Segura,19988,Point(-0.879722222 38.1225)
03050,Campello,31419,Point(-0.401111111 38.4275)
03050,Campello,31419,Point(-0.401111111 38.4275)
03051,Campo de Mirra,447,Point(-0.780277777 38.686666666)
03051,Campo de Mirra,447,Point(-0.780277777 38.686666666)
03052,Cañada,1213,Point(-0.810277777 38.675)
03052,Cañada,1213,Point(-0.810277777 38.675)
03053,Castalla,11908,Point(-0.670833333 38.596666666)
03053,Castalla,11908,Point(-0.670833333 38.596666666)
03054,Castell de Castells,443,Point(-0.194444444 38.724722222)
03054,Castell de Castells,443,Point(-0.194444444 38.724722222)
03055,Catral,9600,Point(-0.805 38.159444444)
03055,Catral,9600,Point(-0.805 38.159444444)
03056,Cocentaina,11498,Point(-0.440027777 38.744194444)
03056,Cocentaina,11498,Point(-0.440027777 38.744194444)
03057,Confrides,293,Point(-0.268611111 38.683333333)
03057,Confrides,293,Point(-0.268611111 38.683333333)
03058,Cox,7722,Point(-0.884722222 38.139444444)
03058,Cox,7722,Point(-0.884722222 38.139444444)
03059,Crevillente,30921,Point(-0.808888888 38.248611111)
03059,Crevillente,30921,Point(-0.808888888 38.248611111)
03060,Cuatretondeta,130,Point(-0.316944444 38.723611111)
03060,Cuatretondeta,130,Point(-0.316944444 38.723611111)
03061,Daya Nueva,1885,Point(-0.761388888 38.113611111)
03061,Daya Nueva,1885,Point(-0.761388888 38.113611111)
03062,Daya Vieja,698,Point(-0.738333333 38.104722222)
03062,Daya Vieja,698,Point(-0.738333333 38.104722222)
03063,Denia,47261,Point(0.108611111 38.840277777)
03063,Denia,47261,Point(0.108611111 38.840277777)
03064,Dolores,8326,Point(-0.77 38.138888888)
03064,Dolores,8326,Point(-0.77 38.138888888)
03065,Elche,245557,Point(-0.698333333 38.266944444)
03065,Elche,245557,Point(-0.698333333 38.266944444)
03066,Elda,55222,Point(-0.790328888 38.481276111)
03066,Elda,55222,Point(-0.790328888 38.481276111)
03067,Facheca,100,Point(-0.268333333 38.734444444)
03067,Facheca,100,Point(-0.268333333 38.734444444)
03068,Famorca,44,Point(-0.246666666 38.731944444)
03068,Famorca,44,Point(-0.246666666 38.731944444)
03069,Finestrat,9919,Point(-0.2125 38.566944444)
03069,Finestrat,9919,Point(-0.2125 38.566944444)
03070,Formentera del Segura,4868,Point(-0.746944444 38.084166666)
03070,Formentera del Segura,4868,Point(-0.746944444 38.084166666)
03071,Gata de Gorgos,6773,Point(0.085277777 38.774722222)
03071,Gata de Gorgos,6773,Point(0.085277777 38.774722222)
03072,Gayanes,577,Point(-0.408333333 38.812777777)
03072,Gayanes,577,Point(-0.408333333 38.812777777)
03073,Gorga,286,Point(-0.357222222 38.718055555)
03073,Gorga,286,Point(-0.357222222 38.718055555)
03074,Granja de Rocamora,2728,Point(-0.889722222 38.1525)
03074,Granja de Rocamora,2728,Point(-0.889722222 38.1525)
03075,Guadalest,284,Point(-0.198611111 38.676388888)
03075,Guadalest,284,Point(-0.198611111 38.676388888)
03076,Guardamar del Segura,18564,Point(-0.655 38.089722222)
03076,Guardamar del Segura,18564,Point(-0.655 38.089722222)
03077,Hondón de las Nieves,2738,Point(-0.853888888 38.308055555)
03077,Hondón de las Nieves,2738,Point(-0.853888888 38.308055555)
03078,Hondón de los Frailes,1334,Point(-0.9275 38.273333333)
03078,Hondón de los Frailes,1334,Point(-0.9275 38.273333333)
03079,Ibi,24500,Point(-0.575277777 38.627222222)
03079,Ibi,24500,Point(-0.575277777 38.627222222)
03080,Jacarilla,2176,Point(-0.866666666 38.060555555)
03080,Jacarilla,2176,Point(-0.866666666 38.060555555)
03081,Jalón,3104,Point(-0.012222222 38.740555555)
03081,Jalón,3104,Point(-0.012222222 38.740555555)
03082,Jávea,30642,Point(0.163055555 38.789166666)
03082,Jávea,30642,Point(0.163055555 38.789166666)
03083,Jijona,7669,Point(-0.508055555 38.539166666)
03083,Jijona,7669,Point(-0.508055555 38.539166666)
03084,Lorcha,589,Point(-0.328611111 38.843611111)
03084,Lorcha,589,Point(-0.328611111 38.843611111)
03085,Llíber,882,Point(-0.005833333 38.743333333)
03085,Llíber,882,Point(-0.005833333 38.743333333)
03086,Millena,265,Point(-0.363888888 38.730555555)
03086,Millena,265,Point(-0.363888888 38.730555555)
03088,Monforte del Cid,9283,Point(-0.730277777 38.379166666)
03088,Monforte del Cid,9283,Point(-0.730277777 38.379166666)
03089,Monóvar,13116,Point(-0.833772222 38.436938888)
03089,Monóvar,13116,Point(-0.833772222 38.436938888)
03090,Muchamiel,28621,Point(-0.445555555 38.413611111)
03090,Muchamiel,28621,Point(-0.445555555 38.413611111)
03091,Murla,574,Point(-0.083888888 38.759444444)
03091,Murla,574,Point(-0.083888888 38.759444444)
03092,Muro de Alcoy,9372,Point(-0.436111111 38.779722222)
03092,Muro de Alcoy,9372,Point(-0.436111111 38.779722222)
03093,Novelda,26606,Point(-0.765277777 38.386111111)
03093,Novelda,26606,Point(-0.765277777 38.386111111)
03094,La Nucía,19121,Point(-0.123055555 38.617222222)
03094,La Nucía,19121,Point(-0.123055555 38.617222222)
03095,Ondara,7717,Point(0.0171 38.82818)
03095,Ondara,7717,Point(0.0171 38.82818)
03096,Onil,8114,Point(-0.673888888 38.629444444)
03096,Onil,8114,Point(-0.673888888 38.629444444)
03097,Orba,2399,Point(-0.064444444 38.78)
03097,Orba,2399,Point(-0.064444444 38.78)
03098,Orcheta,906,Point(-0.261944444 38.563055555)
03098,Orcheta,906,Point(-0.261944444 38.563055555)
03099,Orihuela,84560,Point(-0.946944444 38.085555555)
03099,Orihuela,84560,Point(-0.946944444 38.085555555)
03100,Parcent,1037,Point(-0.065 38.745555555)
03100,Parcent,1037,Point(-0.065 38.745555555)
03101,Pedreguer,8849,Point(0.034166666 38.793333333)
03101,Pedreguer,8849,Point(0.034166666 38.793333333)
03102,Pego,10791,Point(-0.1175 38.843055555)
03102,Pego,10791,Point(-0.1175 38.843055555)
03103,Penáguila,305,Point(-0.359166666 38.679166666)
03103,Penáguila,305,Point(-0.359166666 38.679166666)
03104,Petrel,34022,Point(-0.769555555 38.484472222)
03104,Petrel,34022,Point(-0.769555555 38.484472222)
03105,Pinoso,8523,Point(-1.041083333 38.4035)
03105,Pinoso,8523,Point(-1.041083333 38.4035)
03106,Planes,697,Point(-0.345 38.785277777)
03106,Planes,697,Point(-0.345 38.785277777)
03107,Polop,5828,Point(-0.127222222 38.622222222)
03107,Polop,5828,Point(-0.127222222 38.622222222)
03109,Rafal,4849,Point(-0.849166666 38.104722222)
03109,Rafal,4849,Point(-0.849166666 38.104722222)
03110,Ráfol de Almunia,734,Point(-0.053055555 38.820277777)
03110,Ráfol de Almunia,734,Point(-0.053055555 38.820277777)
03111,Redován,8283,Point(-0.905555555 38.113888888)
03111,Redován,8283,Point(-0.905555555 38.113888888)
03112,Relleu,1375,Point(-0.311388888 38.587222222)
03112,Relleu,1375,Point(-0.311388888 38.587222222)
03113,Rojales,17652,Point(-0.723611111 38.088611111)
03113,Rojales,17652,Point(-0.723611111 38.088611111)
03114,La Romana,2729,Point(-0.896944444 38.366944444)
03114,La Romana,2729,Point(-0.896944444 38.366944444)
03115,Sagra,441,Point(-0.065555555 38.810833333)
03115,Sagra,441,Point(-0.065555555 38.810833333)
03116,Salinas,1828,Point(-0.911666666 38.521111111)
03116,Salinas,1828,Point(-0.911666666 38.521111111)
03117,Sanet y Negrals,712,Point(-0.034166666 38.818611111)
03117,Sanet y Negrals,712,Point(-0.034166666 38.818611111)
03118,San Fulgencio,9769,Point(-0.719166666 38.111944444)
03118,San Fulgencio,9769,Point(-0.719166666 38.111944444)
03119,San Juan de Alicante,26834,Point(-0.436666666 38.401388888)
03119,San Juan de Alicante,26834,Point(-0.436666666 38.401388888)
03120,San Miguel de Salinas,7177,Point(-0.789722222 37.980555555)
03120,San Miguel de Salinas,7177,Point(-0.789722222 37.980555555)
03121,Santa Pola,39709,Point(-0.555555555 38.189722222)
03121,Santa Pola,39709,Point(-0.555555555 38.189722222)
03122,San Vicente del Raspeig,60247,Point(-0.525277777 38.396388888)
03122,San Vicente del Raspeig,60247,Point(-0.525277777 38.396388888)
03123,Sax,10346,Point(-0.816111111 38.539444444)
03123,Sax,10346,Point(-0.816111111 38.539444444)
03124,Sella,621,Point(-0.272777777 38.608333333)
03124,Sella,621,Point(-0.272777777 38.608333333)
03125,Senija,698,Point(0.041388888 38.728055555)
03125,Senija,698,Point(0.041388888 38.728055555)
03127,Tárbena,662,Point(-0.100833333 38.695)
03127,Tárbena,662,Point(-0.100833333 38.695)
03128,Teulada,12912,Point(0.101944444 38.729166666)
03128,Teulada,12912,Point(0.101944444 38.729166666)
03129,Tibi,1757,Point(-0.5775432 38.5308973)
03129,Tibi,1757,Point(-0.5775432 38.5308973)
03130,Tollos,32,Point(-0.275 38.756944444)
03130,Tollos,32,Point(-0.275 38.756944444)
03131,Tormos,323,Point(-0.0725 38.801666666)
03131,Tormos,323,Point(-0.0725 38.801666666)
03132,Torremanzanas,749,Point(-0.419166666 38.606666666)
03132,Torremanzanas,749,Point(-0.419166666 38.606666666)
03133,Torrevieja,98533,Point(-0.683333333 37.977777777)
03133,Torrevieja,98533,Point(-0.683333333 37.977777777)
03134,Valle de Alcalá,159,Point(-0.252777777 38.794444444)
03134,Valle de Alcalá,159,Point(-0.252777777 38.794444444)
03135,Vall de Ebo,231,Point(-0.160833333 38.805555555)
03135,Vall de Ebo,231,Point(-0.160833333 38.805555555)
03136,Vall de Gallinera,583,Point(-0.222222222 38.822222222)
03136,Vall de Gallinera,583,Point(-0.222222222 38.822222222)
03137,Vall de Laguart,905,Point(-0.11 38.776944444)
03137,Vall de Laguart,905,Point(-0.11 38.776944444)
03138,Vergel,5508,Point(0.010376223 38.847117574)
03138,Vergel,5508,Point(0.010376223 38.847117574)
03139,Villajoyosa,37449,Point(-0.232777777 38.505277777)
03139,Villajoyosa,37449,Point(-0.232777777 38.505277777)
03140,Villena,34712,Point(-0.865833333 38.635)
03140,Villena,34712,Point(-0.865833333 38.635)
03901,Els Poblets,2757,Point(0.0173607 38.8489749)
03901,Els Poblets,2757,Point(0.0173607 38.8489749)
03901000100,Miraflor,302,Point(0.018808333 38.849302777)
03901000100,Miraflor,302,Point(0.01931757 38.84913853)
03902,Pilar de la Horadada,24316,Point(-0.7925673 37.8675489)
03902,Pilar de la Horadada,24316,Point(-0.7925673 37.8675489)
03903,Los Montesinos,5786,Point(-0.741944444 38.028055555)
03903,Los Montesinos,5786,Point(-0.741944444 38.028055555)
03904,San Isidro,2337,Point(-0.84 38.166944444)
03904,San Isidro,2337,Point(-0.84 38.166944444)
04001,Abla,1268,Point(-2.777222222 37.142222222)
04002,Abrucena,1241,Point(-2.783333333 37.133333333)
04003,Adra,25501,Point(-3.016666666 36.75)
04004,Albanchez,688,Point(-2.1813585 37.2868617)
04005,Alboloduy,579,Point(-2.62164 37.03346)
04006,Albox,12799,Point(-2.133333333 37.383333333)
04007,Alcolea,829,Point(-2.95 36.966666666)
04007000200,Darrícal,51,Point(-3.02820491 36.91996113)
04007000200,Darrícal,54,Point(-3.02820491 36.91996113)
04008,Alcóntar,545,Point(-2.597222222 37.336111111)
04009,Alcudia de Monteagud,115,Point(-2.2671732 37.2360207)
04010,Alhabia,743,Point(-2.586758 36.9898102)
04011,Alhama de Almería,3975,Point(-2.5667688 36.9574546)
04012,Alicún,206,Point(-2.601944444 36.966388888)
04013,Almería,205468,Point(-2.463888888 36.841666666)
04014,Almócita,208,Point(-2.7898885 37.0024944)
04015,Alsodux,126,Point(-2.5940967 37.0026292)
04016,Antas,3472,Point(-1.9181629 37.2452206)
04017,Arboleas,4215,Point(-2.0742569 37.3511387)
04018,Armuña de Almanzora,371,Point(-2.4151256 37.3501535)
04019,Bacares,226,Point(-2.454722222 37.260555555)
04020,Bayárcal,294,Point(-2.9953433 37.0301069)
04021,Bayarque,215,Point(-2.4359436 37.3306886)
04022,Bédar,953,Point(-1.9806488 37.1909576)
04023,Beires,140,Point(-2.7909185 37.0120901)
04024,Benahadux,4901,Point(-2.460209 36.9251533)
04026,Benitagla,63,Point(-2.2388276 37.231801)
04027,Benizalón,242,Point(-2.2419032 37.2121012)
04028,Bentarique,223,Point(-2.6195624 36.9865695)
